Average size,Src Port,Dst Port,Protocol,Time,Category
216,138,138,0,0.0,System
216,138,138,0,0.0,System
216,138,138,0,0.1,System
216,138,138,0,0.09,System
216,138,138,0,0.0,System
216,138,138,0,0.1,System
216,138,138,0,0.09,System
216,138,138,0,0.0,System
216,138,138,0,0.09,System
216,138,138,0,0.09,System
216,138,138,0,0.18,System
84,57181,5355,0,54.0,Network
64,57181,5355,0,0.0,Network
84,60948,5355,0,0.0,Network
64,60948,5355,0,0.0,Network
92,137,137,0,52.75,System
84,60747,5355,0,0.5,Network
64,60747,5355,0,0.0,Network
84,64485,5355,0,20.5,Network
64,64485,5355,0,0.0,Network
84,56339,5355,0,29.5,Network
64,56339,5355,0,0.0,Network
84,52175,5355,0,0.5,Network
64,52175,5355,0,0.0,Network
92,137,137,0,77.0,System
84,64158,5355,0,0.5,Network
64,64158,5355,0,0.5,Network
84,55165,5355,0,14.0,Network
64,55165,5355,0,0.0,Network
698,64845,3702,0,10.0,Network
64,52119,5355,0,0.5,Network
84,52119,5355,0,0.0,Network
84,52859,5355,0,7.5,Network
64,52859,5355,0,0.0,Network
150,546,547,0,51.11,Network
64,55920,5355,0,3.5,Network
64,55016,5355,0,0.5,Network
180,56148,53,0,29.0,Network
174,61813,53,0,30.0,Network
174,61813,53,0,9.5,Network
231,5474,465,1,23.0,Email
64,57936,5355,0,7.0,Network
64,62261,5355,0,0.0,Network
84,63253,5355,0,0.0,Network
64,63253,5355,0,0.5,Network
84,56669,5355,0,50.0,Network
64,56669,5355,0,0.0,Network
146,17500,17500,0,23.57,Cloud
146,17500,17500,0,0.05,Cloud
92,137,137,0,18.33,System
64,62748,5355,0,29.5,Network
64,58783,5355,0,0.0,Network
272,17500,17500,0,81.1,Cloud
272,17500,17500,0,0.35,Cloud
64,55854,5355,0,34.5,Network
64,53407,5355,0,0.0,Network
84,63119,5355,0,23.5,Network
64,63119,5355,0,0.0,Network
84,62803,5355,0,0.0,Network
64,62803,5355,0,0.5,Network
168,17500,17500,0,65.95,Cloud
168,17500,17500,0,0.2,Cloud
156,17500,17500,0,56.95,Cloud
156,17500,17500,0,1.1,Cloud
64,58064,5355,0,0.5,Network
84,58064,5355,0,0.0,Network
64,54134,5355,0,0.0,Network
84,54134,5355,0,30.5,Network
140,56587,161,0,7.16,Network
64,53218,5355,0,28.75,Network
64,63605,5355,0,0.0,Network
179,17500,17500,0,33.55,Cloud
179,17500,17500,0,0.15,Cloud
528,5475,13000,1,1.67,Web
87,50108,5353,0,12.67,Network
154,546,547,0,52.0,Network
84,63920,5355,0,6.0,Network
64,63920,5355,0,0.0,Network
84,53692,5355,0,0.0,Network
64,53692,5355,0,0.0,Network
92,137,137,0,33.67,System
84,64284,5355,0,0.0,Network
64,64284,5355,0,89.5,Network
84,63364,5355,0,0.0,Network
64,63364,5355,0,0.5,Network
86,57621,57621,0,48.5,Music
150,546,547,0,105.79,Network
64,56255,5355,0,0.5,Network
84,56255,5355,0,20.5,Network
84,62544,5355,0,0.0,Network
64,62544,5355,0,0.0,Network
84,62832,5355,0,42.0,Network
64,62832,5355,0,0.0,Network
64,49925,5355,0,0.0,Network
84,49925,5355,0,0.0,Network
92,137,137,0,9.33,System
64,62837,5355,0,0.0,Network
64,52285,5355,0,45.5,Network
127,5353,5353,0,17.0,Network
150,546,547,0,127.71,Network
92,59221,137,0,25.17,System
92,137,137,0,46.67,System
84,55222,5355,0,6.0,Network
64,55222,5355,0,0.0,Network
84,63058,5355,0,0.5,Network
64,63058,5355,0,0.0,Network
64,59233,5355,0,0.5,Network
84,59233,5355,0,0.0,Network
84,61402,5355,0,31.0,Network
